generacion	nodo	recorrido					ciudades
2			71		126.09302355723226			[1, 11, 25, 22, 23, 17, 20, 19, 9, 18, 21, 10, 14, 8, 5, 6, 7, 16, 4, 24, 15, 2, 3, 12, 13, 1]
2			72		127.30289522026146			[1, 4, 17, 6, 20, 2, 25, 18, 14, 3, 7, 21, 12, 22, 15, 11, 23, 24, 10, 5, 9, 16, 13, 8, 19, 1]
2			73		129.00982434823518			[1, 22, 13, 20, 5, 4, 23, 19, 21, 12, 7, 3, 2, 6, 17, 24, 15, 9, 8, 11, 18, 25, 10, 16, 14, 1]
2			74		128.5796409135416			[1, 23, 3, 14, 24, 19, 21, 13, 7, 5, 25, 18, 6, 8, 15, 22, 4, 16, 2, 11, 10, 9, 20, 17, 12, 1]
2			75		124.78777293569836			[1, 23, 22, 2, 19, 20, 24, 4, 14, 8, 16, 17, 18, 10, 5, 7, 21, 3, 11, 9, 6, 13, 12, 25, 15, 1]
2			76		109.72348596627488			[1, 23, 18, 12, 3, 17, 20, 14, 10, 19, 11, 8, 15, 6, 13, 22, 4, 25, 24, 2, 21, 16, 9, 5, 7, 1]
2			77		120.04860447439911			[1, 5, 14, 10, 19, 20, 25, 22, 17, 13, 11, 7, 18, 2, 23, 12, 24, 3, 15, 9, 6, 4, 21, 16, 8, 1]
2			78		133.84850422838306			[1, 17, 7, 20, 21, 10, 4, 5, 22, 8, 6, 15, 13, 18, 12, 25, 14, 19, 24, 9, 11, 2, 3, 23, 16, 1]
2			79		120.24464651878668			[1, 23, 11, 15, 19, 20, 7, 17, 25, 24, 3, 9, 12, 6, 21, 22, 13, 8, 10, 16, 14, 5, 2, 18, 4, 1]
2			80		145.68601073115275			[1, 21, 22, 18, 17, 3, 15, 5, 24, 10, 25, 19, 9, 12, 8, 20, 14, 2, 4, 16, 23, 11, 7, 6, 13, 1]
2			81		113.29698043157207			[1, 2, 13, 22, 24, 9, 4, 16, 5, 3, 18, 6, 10, 15, 25, 23, 20, 11, 17, 8, 7, 19, 14, 21, 12, 1]
2			82		115.06060939756871			[1, 12, 24, 11, 2, 21, 10, 18, 13, 6, 14, 22, 20, 25, 19, 15, 16, 9, 4, 7, 23, 17, 5, 8, 3, 1]
2			83		128.8561147218483			[1, 3, 25, 17, 14, 19, 20, 22, 2, 12, 18, 11, 10, 5, 13, 6, 4, 9, 21, 23, 16, 7, 24, 8, 15, 1]
2			84		151.71903469843454			[1, 25, 17, 19, 22, 2, 15, 23, 14, 6, 20, 5, 24, 10, 4, 9, 11, 16, 21, 13, 12, 8, 3, 7, 18, 1]
2			85		123.88964402067563			[1, 7, 17, 22, 6, 2, 19, 4, 20, 5, 12, 18, 24, 23, 3, 10, 13, 8, 9, 16, 14, 21, 25, 15, 11, 1]
2			86		131.57326298761686			[1, 23, 17, 11, 9, 6, 14, 8, 7, 22, 25, 20, 12, 15, 24, 16, 10, 19, 5, 2, 3, 21, 18, 13, 4, 1]
2			87		136.92906736235554			[1, 4, 10, 6, 3, 19, 7, 8, 2, 20, 24, 14, 25, 18, 15, 9, 13, 16, 11, 23, 12, 5, 22, 17, 21, 1]
2			88		123.5995074077725			[1, 9, 25, 16, 20, 24, 23, 22, 5, 12, 6, 14, 21, 4, 13, 18, 11, 17, 7, 10, 3, 8, 15, 2, 19, 1]
2			89		140.94703426047317			[1, 22, 10, 24, 9, 23, 17, 3, 4, 21, 11, 15, 16, 14, 6, 8, 20, 25, 12, 18, 13, 5, 19, 2, 7, 1]
2			90		124.68881496246122			[1, 12, 25, 2, 14, 23, 7, 24, 11, 3, 16, 9, 13, 21, 4, 8, 18, 19, 22, 20, 17, 15, 6, 5, 10, 1]
2			91		123.57234506793304			[1, 20, 18, 6, 13, 21, 4, 11, 7, 2, 22, 14, 10, 8, 3, 5, 16, 23, 15, 12, 19, 25, 24, 9, 17, 1]
2			92		139.84782196510338			[1, 25, 22, 3, 6, 16, 14, 12, 11, 8, 17, 21, 2, 10, 18, 5, 7, 15, 19, 9, 13, 20, 24, 4, 23, 1]
